Name;Calories;Protein;Carbohydrate;Fat
Tortas doces de qualquer sabor diet;99,17;2,248;10,656;5,299
Filhos (bolinho de farinha de trigo e ovos) light;426,533;6,44;48,691;22,95
Filhos (bolinho de farinha de trigo e ovos) diet;426,533;6,44;48,691;22,95
Bolo de chocolate light;299,493;4,594;52,448;9,36
Bolo de chocolate diet;299,493;4,594;52,448;9,36
Bolo de laranja light;328,383;4,763;58,313;9,482
Bolo de coco diet;299,493;4,594;52,448;9,36
Bolo de cenoura diet;272,738;4,085;44,261;9,098
Biscoito recheado light;432,962;5,879;77,801;13,239
Biscoito waffer light;398,632;4,508;80,659;6,924
Waffer (biscoito) light;398,632;4,508;80,659;6,924
Alfajores (biscoito) light;432,962;5,879;77,801;13,239
Bolacha recheada light;432,962;5,879;77,801;13,239
Biscoito recheado diet;405,275;8,168;66,822;20,828
Rosquinha recheada de qualquer sabor diet;405,275;8,168;66,822;20,828
Bolacha recheada diet;405,275;8,168;66,822;20,828
Pão doce diet;312,251;4,833;57,974;6,922
Pão de mel diet;446,228;4,381;85,035;11,308
Panetone diet;355,95;7,452;58,03;10,433
Biscoito salgado light;452,564;9,672;72,453;13,785
Bolacha salgada light;452,564;9,672;72,453;13,785
Chips (salgadinhos) light;407,047;6,527;81,134;7,049
Biscoito doce light;395,251;6,45;83,876;4,839
Bolacha doce light;395,251;6,45;83,876;4,839
Biscoito doce diet;453,915;6,224;65,743;21,888
Bolacha doce diet;453,915;6,224;65,743;21,888
Bolo de banana;300,054;3,928;52,137;9,069
Carne-seca, Cozido(a) [2];313;26,9;-;21,9
Carne-seca, Grelhado(a)/brasa/churrasco [3];313;26,9;-;21,9
Carne-seca, Assado(a) [4];313;26,9;-;21,9
Carne-seca, Frito(a) [5];347,00404;25,286;-;26,55702
Carne-seca, Refogado(a) [7];347,00404;25,286;-;26,55702
Carne-seca, Molho vermelho [8];255,2;21,784;1,076;17,556
Carne-seca, Ensopado [13];347,00404;25,286;-;26,55702
Carne de charque, Cru(a) [1];313;26,9;-;21,9
Carne de charque, Cozido(a) [2];313;26,9;-;21,9
Carne de charque, Grelhado(a)/brasa/churrasco [3];313;26,9;-;21,9
Carne de charque, Assado(a) [4];313;26,9;-;21,9
Carne de charque, Frito(a) [5];347,00404;25,286;-;26,55702
Carne de charque, Refogado(a) [7];347,00404;25,286;-;26,55702
Carne de charque, Molho vermelho [8];255,2;21,784;1,076;17,556
Carne de charque, Ensopado [13];347,00404;25,286;-;26,55702
Jabá, Cozido(a) [2];313;26,9;-;21,9
Jabá, Frito(a) [5];347,00404;25,286;-;26,55702
Jabá, Refogado(a) [7];347,00404;25,286;-;26,55702
Jabá;313;26,9;-;21,9
Carne de sol, Cru(a) [1];313;26,9;-;21,9
Carne de sol, Cozido(a) [2];313;26,9;-;21,9
Carne de sol, Grelhado(a)/brasa/churrasco [3];313;26,9;-;21,9
Carne de sol, Assado(a) [4];313;26,9;-;21,9
Carne de sol, Frito(a) [5];347,00404;25,286;-;26,55702
Carne de sol, Ensopado [13];347,00404;25,286;-;26,55702
Carne do sertão, Cozido(a) [2];313;26,9;-;21,9
Carne do sertão, Assado(a) [4];313;26,9;-;21,9
Carne do sertão, Frito(a) [5];347,00404;25,286;-;26,55702
Hambúrguer de carne bovina, Cru(a) [1];214;26,62;-;11,1
Hambúrguer de carne bovina, Cozido(a) [2];214;26,62;-;11,1
Hambúrguer de carne bovina, Grelhado(a)/brasa/churrasco [3];214;26,62;-;11,1
Hambúrguer de carne bovina, Assado(a) [4];214;26,62;-;11,1
Hambúrguer de carne bovina, Frito(a) [5];236,659;26,62;-;13,663
Hambúrguer de carne bovina, Molho vermelho [8];176;21,56;1,076;8,916
Hambúrguer de carne bovina;214;26,62;-;11,1
Copa de porco defumada;248,659;20,53;0,42;17,763
Bacon;541;37,04;1,43;41,78
Hambúrguer de frango, Cozido(a) [2];206,14;16,188;12,644;9,708
Hambúrguer de frango, Grelhado(a)/brasa/churrasco [3];206,14;16,188;12,644;9,708
Hambúrguer de frango, Assado(a) [4];206,14;16,188;12,644;9,708
Hambúrguer de frango, Frito(a) [5];266,665;16,188;12,644;16,554
Hambúrguer de frango, Empanado(a)/à milanesa [6];266,665;16,188;12,644;16,554
Hambúrguer de frango;206,14;16,188;12,644;9,708
Salsicha no varejo, Cru(a) [1];321,051;9,719;3,605;29,509
Salsicha no varejo, Cozido(a) [2];321,051;9,719;3,605;29,509
Salsicha no varejo, Grelhado(a)/brasa/churrasco [3];321,051;9,719;3,605;29,509
Salsicha no varejo, Assado(a) [4];321,051;9,719;3,605;29,509
Salsicha no varejo, Frito(a) [5];321,051;9,719;3,605;29,509
Salsicha no varejo, Refogado(a) [7];321,051;9,719;3,605;29,509
Salsicha no varejo, Molho vermelho [8];289,431;8,555;4,735;26,095
Salsicha no varejo, Molho branco [9];321,6;11,304;3,236;29,036
Salsicha no varejo, Ao alho e óleo [10];321,051;9,719;3,605;29,509
Salsicha no varejo, Com manteiga/óleo [11];321,051;9,719;3,605;29,509
Salsicha no varejo, Ensopado [13];321,051;9,719;3,605;29,509
Salsicha no varejo;321,051;9,719;3,605;29,509
Linguiça (suína, bovina, mista, etc.), Cru(a) [1];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Cozido(a) [2];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Grelhado(a)/brasa/churrasco [3];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Assado(a) [4];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Frito(a) [5];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Empanado(a)/à milanesa [6];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Refogado(a) [7];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Molho vermelho [8];321,6;11,304;3,236;29,036
Linguiça (suína, bovina, mista, etc.), Com manteiga/óleo [11];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.), Ensopado [13];396;13,8;2,7;36,25
Linguiça (suína, bovina, mista, etc.);396;13,8;2,7;36,25
Linguiça de frango, Cru(a) [1];244;18,2;-;18,4
Linguiça de frango, Cozido(a) [2];244;18,2;-;18,4
Linguiça de frango, Grelhado(a)/brasa/churrasco [3];244;18,2;-;18,4
Linguiça de frango, Assado(a) [4];244;18,2;-;18,4
Linguiça de frango, Frito(a) [5];245;18,3;-;18,5
Chouriço;379;14,6;1,29;34,5
Morcela;379;14,6;1,29;34,5
Morcilha, Cru(a) [1];379;14,6;1,29;34,5
Morcilha, Cozido(a) [2];379;14,6;1,29;34,5
Paio, Cozido(a) [2];339;19,43;-;28,36
Mortadela;307;11,1;3,2;27,7
Salame;336;21,85;2,4;25,9
Salaminho;336;21,85;2,4;25,9
Blanquet de peru;126;17,5;2,04;4,84
Presunto ;226;20,53;0,42;15,2
Hambúrguer de peru, Cozido(a) [2];195,964;16,615;12,644;8,351
Hambúrguer de peru, Assado(a) [4];195,964;16,615;12,644;8,351
Hambúrguer de peru, Empanado(a)/à milanesa [6];256,489;16,615;12,644;15,198
Hambúrguer não especificado, Cozido(a) [2];214;26,62;-;11,1
Hambúrguer não especificado, Grelhado(a)/brasa/churrasco [3];214;26,62;-;11,1
Hambúrguer não especificado, Assado(a) [4];214;26,62;-;11,1
Hambúrguer não especificado, Frito(a) [5];236,659;26,62;-;13,663
Hambúrguer não especificado;214;26,62;-;11,1
Apresuntado;178;22,62;-;9,02
Pururuca de porco;544;61,3;-;31,3
Pele de porco preparada (pururuca);544;61,3;-;31,3
Patê (fígado, calabresa, frango, presunto, etc.);326;14,1;2,2;28,5
Carne de aves defumada;195,659;30,91;-;7,073
Carne salgada não especificada, Cozido(a) [2];313;26,9;-;21,9
Carne salgada não especificada, Grelhado(a)/brasa/churrasco [3];313;26,9;-;21,9
Carne salgada não especificada, Assado(a) [4];313;26,9;-;21,9
Carne salgada não especificada, Frito(a) [5];347,00404;25,286;-;26,55702
Carne salgada não especificada, Refogado(a) [7];347,00404;25,286;-;26,55702
Carne salgada não especificada, Molho vermelho [8];255,2;21,784;1,076;17,556
Carne salgada não especificada;313;26,9;-;21,9
Mini chicken empanado, Cozido(a) [2];273,016;16,237;15,912;15,63
Mini chicken empanado, Grelhado(a)/brasa/churrasco [3];273,016;16,237;15,912;15,63
Mini chicken empanado, Assado(a) [4];273,016;16,237;15,912;15,63
Mini chicken empanado, Frito(a) [5];273,016;16,237;15,912;15,63
Mini chicken empanado, Empanado(a)/à milanesa [6];273,016;16,237;15,912;15,63
Mortadela light;211;13,06;3,45;16,06
Salsicha no varejo light, Frito(a) [5];154;11;4,4;10
Salame light;145,184;14,704;0,5;8,935
Blanquet de peru light;124,121;14,986;7,108;3,573
Hambúrguer não especificado light;190;27,034;-;8,262
Refrigerante de cola tradicional;36,874;0,07;9,527;0,02
Coca-cola tradicional;36,874;0,07;9,527;0,02
Fanta laranja tradicional;48;-;12,3;-
Sukita tradicional;48;-;12,3;-
Refrigerante de guaraná tradicional;39;-;10;-
Guaraná tradicional;39;-;10;-
Sprit refrigerante tradicional;40;0,05;10,14;0,02
Fanta uva tradicional;48;-;12,3;-
Refrigerante de cola light;2,002;0,11;0,29;0,03
Coca-cola light;2,002;0,11;0,29;0,03
Refrigerante de cola diet;2;0,11;0,29;0,03
Minuano tradicional;40;0,05;10,14;0,02
Mate tradicional;2,803;0,25;2,312;-
Bidu tradicional;39;-;10;-
Fanta laranja light;-;0,1;-;-
Refrigerante de guaraná light;-;-;-;-
Guaraná light;-;-;-;-
Tubaína tradicional;39;-;10;-
Tubaína light;2,002;0,11;0,29;0,03
Caldo de cana;73,58;-;19,97;0,05
Garapá;73,58;-;19,97;0,05
Água de coco;19,275;0,73;3,764;0,203
Q-suco;15,28;-;3,908;0,004
Q-refresko;15,28;-;3,908;0,004
Nescafé;241;12,2;75,4;0,5
Erva-mate;2,803;0,25;2,312;-
Chimarrão;2,803;0,25;2,312;-
Tereré;2,803;0,25;2,312;-
Levedo de cerveja;170;16,2;28,1;1,3
Refrigerante não especificado;36,874;0,07;9,527;0,02
Cevada em pó;352;9,91;77,72;1,16
Chocomilk ;83,322;3,182;10,38;3,403
Água tônica tradicional;40,017;0,05;10,144;0,02
Chá diet (preto, camomila, erva-cidreira, capim-limão, etc.) ;2,524;0,009;0,672;-
Paraguai refrigerante tradicional;39;-;10;-
Gatorade;27,011;-;6,763;0,1
Bebida energética;45,348;0,252;11,025;0,081
Chá (preto, camomila, erva-cidreira, capim-limão, etc.);1,001;-;0,3;-
Café solúvel capuccino ;27,707;0,255;5,166;0,843
Refrigerante de guaraná diet;-;-;-;-
Guaraná diet;-;-;-;-
Refrigerante de limão diet;-;0,1;-;-
Fanta uva light;-;0,1;-;-
Mate light;2,803;0,25;2,312;-
Água tônica light;40,017;0,05;10,144;0,02
Paraguai refrigerante light;2,002;0,11;0,29;0,03
Q-suco light;15,28;-;3,908;0,004
Q-refresko light;15,28;-;3,908;0,004
Q-suco diet;15,28;-;3,908;0,004
Café capuccino solúvel light;12,766;0,135;0,908;1,005
Café capuccino solúvel diet;12,766;0,135;0,908;1,005
Água tônica diet;40,017;0,05;10,144;0,02
Refrigerante de quinino dietético;40,017;0,05;10,144;0,02
Chá mate orgânico;2,803;0,25;2,312;-
Chimarrão orgânico;2,803;0,25;2,312;-
Suco de clorofila;1,873;0,242;0,305;0,021
Café com farinha;181,0005;0,86;44,185;0,16
Cerveja (com ou sem álcool);43,185;0,462;3,565;-
Chopp;43,185;0,462;3,565;-
Aguardente;216;-;-;-
Cachaça;216;-;-;-
Batida de qualquer sabor;187,38;0,541;22,144;3,693
Rum;230,182;-;-;-
Vodka;217,153;-;-;-
Uísque;230,182;-;-;-
Whisky;230,182;-;-;-
Champanhe;82;0,07;2,6;-
Sidra champanhe;82;0,07;2,6;-
Martini;194,436;0,014;0,529;-
Conhaque;231;-;-;-
Drink dreher;216;-;-;-
Licor de qualquer sabor;282,649;-;33,639;-
Cajuína;45;0,8;11,5;-
Vinho;84,504;0,07;2,595;-
Catuaba;216;-;-;-
Coquetel de frutas;187,38;0,541;22,144;3,693
Caipirinha;143,899;0,104;37,897;0,1
Bebida alcoólica ;216;-;-;-
Vinho orgânico;84,504;0,07;2,595;-
Cerveja (com ou sem álcool) light;29;0,24;1,64;-
Caxiri (aguardente de mandioca);216;-;-;-
Azeite de oliva;887,805;-;-;100,43
Óleo de soja;879,734;-;-;99,517
Banha suína;902;-;-;100
Banha bovina;680;10,65;-;70,33
Óleo não especificado;879,734;-;-;99,517
Óleo de dendê;857,84;-;-;99,517
Salgadinho;274,6;13,409;16,544;16,878
Pastel (queijo, carne, palmito, etc.);319,807;10,384;33,513;15,676
Croquete ;274,6;13,409;16,544;16,878
Coxinha ;274,6;13,409;16,544;16,878
Empada (queijo, carne, camarão, etc.);153,963;7,887;12,471;7,908
Rissole  (queijo, carne, camarão, etc.);274,6;13,409;16,544;16,878
Acarajé;289;8,3;19,1;19,9
Torresmo ;544;61,3;-;31,3
Quibe ;274,6;13,409;16,544;16,878
Abará (Bahia);289;8,3;19,1;19,9
Paçoca de carne de sol;354,00202;13,443;43,95;13,42851
Angu frito;74,596;1,454;13;1,781
Angu de milho ;60,584;1,437;12,999;0,196
Polenta ;74,596;1,454;13;1,781
Esfirra ;359,422;9,758;37,51;18,882
Esfirra de carne ;346,452;11,895;26,195;21,378
Esfirra de queijo ;359,422;9,758;37,51;18,882
Esfirra de ricota ;320,394;7,544;38,088;15,254
Esfirra de frango ;222,391;9,47;17,322;12,708
Enroladinho ;274,6;13,409;16,544;16,878
Bolinho de aipim;212,637;6,28;18,514;13,112
Bolinho de bacalhau;214,013;16,7;7,686;12,746
Cachorro-quente ;272,469;8,729;24,8;15,22
Hambúrguer (sanduíche);267,164;13,08;32,357;9,216
Cheeseburger ;279,85;14,147;28,739;11,808
Eggsburger ;269,437;13,281;17,421;16,103
Bauru ;229,465;13,667;13,965;12,998
Americano;236,679;10,054;16,848;14,215
Misto-quente ou frio ;265,417;16,289;18,299;13,777
Sanduíche de queijo prato;329,293;12,219;31,086;17,242
Sanduíche de salame;282,988;8,965;30,268;13,744
Sanduíche de presunto;230,333;10,968;18,729;12,15
Sanduíche de queijo prato com presunto;265,417;16,289;18,299;13,777
Sanduíche de mortadela;315,972;8,602;32,814;16,559
Sanduíche de queijo minas;329,293;12,219;31,086;17,242
Cheese egg;279,85;14,147;28,739;11,808
Cheese tudo;279,85;14,147;28,739;11,808
Sanduíche natural;245,583;11,213;25,576;10,838
Suco ;41,826;0,588;9,809;0,139
Suco de abacaxi ;53,206;0,361;12,92;0,12
Suco de acerola ;23,056;0,401;4,812;0,301
Suco de beterraba ;30,772;0,811;7,108;0,117
Suco de cupuaçu ;24,5;0,6;5,2;0,5
Suco de goiaba ;62,284;0,371;15,619;0,138
Suco de laranja ;41,826;0,588;9,809;0,139
Suco de laranja com banana ;56,799;0,756;13,84;0,198
Suco de laranja e beterraba ;30,772;0,811;7,108;0,117
Suco de laranja e cenoura ;30,772;0,811;7,108;0,117
Suco de laranja cenoura e beterraba;30,772;0,811;7,108;0,117
Suco de mamão ;57,13;0,17;14,543;0,15
Suco de manga ;50,862;0,11;13,084;0,06
Suco de maracujá ;60,137;0,672;14,483;0,18
Suco de melão ;31,79;0,646;8,001;0,159
Suco de morango ;59,209;0,569;14,509;0,095
Suco de pêssego ;53,993;0,27;13,918;0,02
Suco de pêssego em calda ;53,993;0,27;13,918;0,02
Vitamina ;92,781;2,472;16,393;2,311
Vitamina de banana ;92,781;2,472;16,393;2,311
Vitamina de banana com aveia ;108,457;3,058;19,203;2,539
Vitamina de mamão ;80,591;2,42;12,95;2,342
Vitamina de abacate ;100,188;2,744;12,804;4,635
Vitamina de morango ;74,607;1,959;13,274;1,827
Vitamina mista;83,164;1,805;16,199;1,651
Vitamina de maçã;82,986;2,276;13,984;2,263
Refresco ;46,805;-;11,92;-
Refresco de caju ;46,805;-;11,92;-
Refresco de groselha ;46,805;-;11,92;-
Refresco de laranja ;46,805;-;11,92;-
Refresco de maracujá ;46,805;-;11,92;-
Refresco de limão;46,805;-;11,92;-
Salada ou verdura cozida, exceto de fruta;26;2,11;4,91;0,36
Salada de maionese ;209,794;2,713;12,645;16,825
Pizza ;281,198;14,597;29,819;11,349
Lasanha pronta light ;158,633;10,782;12,336;7,314
Nhoque ;190,542;9,308;8,485;13,18
Caneloni;120,86;5,939;9,217;6,801
Capeleti ;95,24;5,525;12,597;2,586
Ravioli ;95,24;5,525;12,597;2,586
Calzone ;245,75;12,829;25,802;9,845
Panqueca;203,179;13,96;8,266;12,457
Pizza calabreza;284,722;13,742;29,514;12,214
Pizza muçarela;281,198;14,597;29,819;11,349
Pizza presunto;284,722;13,742;29,514;12,214
Pizza portuguesa;247,487;11,753;22,402;12,229
Macarronada;120,586;6,223;17,418;2,787
Galeto ;261,659;27,3;-;16,163
Costela;365;22,6;-;29,79
Pipoca doce ou salgada ;468,154;6,592;62,512;23,277
Café ;1,001;0,12;0,47;0,02
Café com leite ;31,441;1,721;2,566;1,686
Café tipo expresso;2,445;0,124;0,765;0,005
Café tipo capuccino;27,707;0,255;5,166;0,843
Milho cozido ;160,141;3,32;25,11;7,178
Batata palito;263,5;2,871;33,6;13,64
Batata palha;545,703;5,241;54,521;35,244
Mungunzá ;146;4;24,4;3,9
Canjica ;146;4;24,4;3,9
Curau;78,243;2,422;10,456;3,062
Farofa ;406;2,1;80,3;9,1
Mingau (fubá,  aveia, farinha, etc.) ;78,243;2,422;10,456;3,062
Tacacá ;16;2;0,4;0,6
Bolinho de coco ;297,322;6,707;54,894;5,801
Risoto;113,016;6,664;17,163;1,994
Vatapá ;226,068;13,774;9,276;15,61
Farofa pronta ;406;2,1;80,3;9,1
Caldo de carne ;7,02;1,361;0,454;-
Caldo-de-feijão ;75,499;4,784;10,332;1,765
Caldo de mocotó ;7,02;1,361;0,454;-
Baião de dois;136;6,2;20,4;3,2
Churrasco;204;30,67;-;9
Sushi;146,775;5,557;29,192;0,45
Salada de frutas ;51,241;0,622;13,312;0,142
Sopa (legumes, carne, etc.);28,776;1,629;3,81;0,78
Salpicão ;202,853;14,261;3,934;14,414
Charuto de repolho;84,911;9,626;8,753;1,298
Arroz à grega ;92,005;2,165;17,466;1,687
Arrumadinho;198,856;9,334;21,725;8,466
Bobó de camarão ;72,1;2,631;5,476;4,42
Caruru (quiabo, amendoim, castanha de caju, camarão seco, etc.);215,87;6,07;4,07;20,07
Cuscuz paulista ;142;2,6;22,5;4,6
Empadão (queijo, frango, camarão, palmito, etc.);153,963;7,887;12,471;7,908
Farofa de banana;309,5525;1,658;52,887;11,173
Feijão-tropeiro ;198,856;9,334;21,725;8,466
Galinha com arroz ;143,501;4,465;23,926;3,073
Galinhada ;143,501;4,465;23,926;3,073
Moqueca baiana ;130,13;13,618;1,664;7,536
Omelete ;241,618;11,035;0,982;21,259
Pirão ;119,648;8,051;8,9;5,761
Quibebe ;36,387;0,72;4,9;1,924
Quiche;282,726;10,341;13,846;20,442
Suflê ;126,098;5,113;6,402;9,174
Tutu ;123,7645;5,4142;22,3386;1,6446
Moqueca capixaba ;100,524;14,335;1,751;3,664
Maniçoba ;181,849;15,087;2,924;12,163
Caldo verde ;94,918;3,529;14,186;2,895
Arroz de cuxá;102,736062;2,380278864;20,92240443;0,9480294
Angu à baiana;125,337;9,01;8,865;5,752
Chocolate;535;7,65;59,4;29,66
Gemada ;134,794;3,804;13,519;7,469
Açaí com granola;110;0,7;21,5;3,7
Suco orgânico ;41,826;0,588;9,809;0,139
Suco de abacaxi orgânico ;53,206;0,361;12,92;0,12
Suco de acerola orgânico ;23,056;0,401;4,812;0,301
Suco de goiaba orgânico ;62,284;0,371;15,619;0,138
Suco de laranja orgânico ;41,826;0,588;9,809;0,139
Suco de laranja cenoura e beterraba orgânico ;30,772;0,811;7,108;0,117
Suco de manga orgânico ;50,862;0,11;13,084;0,06
Suco de maracujá orgânico ;60,137;0,672;14,483;0,18
Suco de morango orgânico ;59,209;0,569;14,509;0,095
Suco de pêssego orgânico ;53,993;0,27;13,918;0,02
Suco de pêssego em calda orgânico ;53,993;0,27;13,918;0,02
Pizza pronta light ;255,571;14,597;29,819;8,45
Lasanha pronta light ;144,333;10,925;12,336;5,67
Macarrão pronto light , Cozido(a) [2];189,862;5,645;25,537;7,177
Pizza portuguesa light;229,617;11,753;22,402;10,207
Farofa pronta light em pacote;406;2,1;80,3;9,1
Vaca atolada;245;11,6;15,05;15,045
Salada ou verdura crua, exceto de fruta;18;0,88;3,92;0,2
Outros legumes cozidos;60,5;1,235;14,115;0,14
Café da manha;31,441;1,721;2,566;1,686
Prato de comida brasileira;148,3741336;6,740453706;21,3407939;3,860556747
Prato de comida do nordeste;129,2080148;6,486000405;19,48347163;2,656416754
Prato de comida do norte;157,0970711;6,534916295;24,98652428;3,360837643
Prato de comida do sudeste;131,0943052;8,620414975;12,00438466;5,301131171
Prato de comida do sul;148,3741336;6,740453706;21,3407939;3,860556747
Prato de comida do centro-oeste;105,9299424;5,681362724;14,26608033;2,911793565
Arroz com feijão;116,5139729;4,167056332;21,41943174;1,497021
Pão com manteiga;369,5;6,808333333;48,84333333;16,10166667
Pão com margarina;369,8333333;6,816666667;48,98333333;16
Pão com ovo;261,2955;10,837;29,9085;10,377
Carne com batata, inhame, batata-baroa ou aipim ;188,198;12,965;10,005;10,497
Carne com legumes (exceto batata, inhame e aipim);150,523;12,47;2,45;9,953
Frango com batata, inhame batata-baroa ou aipim;153,698;16,31;10,005;5,042
Frango com legumes (exceto batata, inhame e aipim);116,023;15,815;2,45;4,498
Abobora com quiabo;21;1,295;4,705;0,14
Arroz carreteiro;154;10,8;11,6;7,1
Maria izabel;154;10,8;11,6;7,1
Arroz de leite;142,422;2,98;22,622;4,174
Arroz com mandioca;130,3114729;1,548056332;28,94243174;0,750021
Arroz com ovo;179,1069729;8,085056332;14,50093174;9,427021
Palma ;41,945;1,35;3,28;3,098
